"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hivep3.6",2.53081249696407e-53,0.370212781379004,0.825,0.498,7.85893204682252e-49,"13","Hivep3"
"Hdac9.8",2.55002107675896e-53,0.338801789796004,0.551,0.254,7.9185804496596e-49,"13","Hdac9"
"Gm10419.6",4.77418564964616e-53,0.386540955280758,0.693,0.377,1.48252786978462e-48,"13","Gm10419"
"Clstn3.9",5.17089013918711e-53,0.35402445048473,0.869,0.545,1.60571651492177e-48,"13","Clstn3"
"Cpne7.11",6.01347704145569e-53,0.32234403195895,0.386,0.148,1.86736502568324e-48,"13","Cpne7"
"Akap13.4",6.951400803395e-53,0.264454857587313,0.503,0.216,2.15861849147825e-48,"13","Akap13"
"Farp1.5",7.09885974472828e-53,0.286722139591891,0.521,0.23,2.20440891653047e-48,"13","Farp1"
"Adcy8.5",2.1333388952329e-52,0.317182328459086,0.405,0.161,6.62465727136674e-48,"13","Adcy8"
"Ttc19.6",2.30266597342643e-52,0.40458484350969,0.846,0.571,7.15046864728109e-48,"13","Ttc19"
"Dlgap1.8",8.5088945815248e-52,0.332840653095054,0.979,0.767,2.6422670344009e-47,"13","Dlgap1"
"Tmem132b.4",1.02225605136059e-51,0.323598107227071,0.616,0.297,3.17441171629005e-47,"13","Tmem132b"
"Kcnq2.6",2.0205134765477e-51,0.383054490709535,0.869,0.563,6.27430049872359e-47,"13","Kcnq2"
"Rbms1.4",2.11185496639854e-51,0.282868388833299,0.525,0.233,6.5579432271574e-47,"13","Rbms1"
"Phf24.10",3.97648415729364e-51,0.378698055116747,0.761,0.428,1.23481762536439e-46,"13","Phf24"
"Kcnc1.10",6.3157413049159e-51,-0.878751241865777,0.16,0.433,1.96122714741553e-46,"13","Kcnc1"
"Fbxw7.9",1.20065038587244e-50,0.350685673382909,0.807,0.467,3.72837964324967e-46,"13","Fbxw7"
"Prickle1.11",1.40230489992541e-50,0.315072842619535,0.775,0.432,4.35457740573838e-46,"13","Prickle1"
"Tenm3.4",1.70723889723735e-50,0.489365246124861,0.598,0.312,5.30148894759116e-46,"13","Tenm3"
"Slc4a8.6",2.2643163283297e-50,0.35676998695758,0.654,0.338,7.03138149436222e-46,"13","Slc4a8"
"Hivep2.6",2.35980974201293e-50,0.337839818407938,0.791,0.452,7.32791719187276e-46,"13","Hivep2"
"Pde7b.10",3.56266508792321e-50,-0.902411534422863,0.028,0.307,1.10631438975279e-45,"13","Pde7b"
"Egr4",3.78975891028376e-50,0.307196218280844,0.245,0.077,1.17683383441042e-45,"13","Egr4"
"Khdrbs3.8",6.86019570647826e-50,0.291809772537027,0.487,0.214,2.13029657273269e-45,"13","Khdrbs3"
"Emb.3",8.1315987723635e-50,0.350178128485895,0.446,0.195,2.52510536678204e-45,"13","Emb"
"Unc5c.7",1.15138909263738e-49,0.277059118474589,0.685,0.347,3.57540854936685e-45,"13","Unc5c"
"Ptprn2.6",1.4437924492055e-49,0.378435670830076,0.861,0.555,4.48340869251783e-45,"13","Ptprn2"
"Sept3.4",1.44777994771428e-49,0.362577450261605,0.701,0.373,4.49579107163714e-45,"13","Sept3"
"Elavl2.12",2.36167817909896e-49,0.263759266475855,0.665,0.328,7.33371924955601e-45,"13","Elavl2"
"Enc1.6",2.43434862274419e-49,0.3475636124409,0.627,0.316,7.55938277820753e-45,"13","Enc1"
"Tenm2.8",2.72286261543646e-49,0.45607086314988,0.73,0.436,8.45530527971484e-45,"13","Tenm2"
"Lynx1.5",2.97704784689608e-49,0.346436821269211,0.58,0.284,9.2446266789664e-45,"13","Lynx1"
"Pstk.1",3.07262206222347e-49,0.359755025447197,0.778,0.458,9.54141328982254e-45,"13","Pstk"
"Arhgdig",3.26141260307473e-49,0.266573701363383,0.361,0.139,1.0127664556328e-44,"13","Arhgdig"
"Cttnbp2.8",3.27297736488894e-49,0.374725798550973,0.951,0.765,1.01635766111896e-44,"13","Cttnbp2"
"Eml5.8",5.5906467782378e-49,0.351613485045113,0.882,0.578,1.73606354404618e-44,"13","Eml5"
"Fat3.8",7.88204859604432e-49,0.350728204186832,0.613,0.306,2.44761255052964e-44,"13","Fat3"
"Pcdh9.10",8.25064167412418e-49,-0.70538371749415,0.662,0.775,2.56207175906578e-44,"13","Pcdh9"
"Rspo3.6",3.13980540922406e-48,0.290844523650725,0.369,0.145,9.75003773726347e-44,"13","Rspo3"
"Nop56",3.1996503651774e-48,0.317567861936856,0.676,0.349,9.93587427898537e-44,"13","Nop56"
"Aifm3.11",3.3976194580674e-48,0.31070890330943,0.663,0.337,1.05506277031367e-43,"13","Aifm3"
"Neurod2.11",3.52750737131245e-48,0.270691453945419,0.387,0.155,1.09539686401366e-43,"13","Neurod2"
"Aplp1.11",4.17230429685398e-48,-0.766892922229894,0.855,0.87,1.29562565330207e-43,"13","Aplp1"
"Faah.9",4.45055402860101e-48,0.323069090373966,0.694,0.368,1.38203054250147e-43,"13","Faah"
"Lrrfip1.5",5.08034383081773e-48,0.352095740620774,0.819,0.504,1.57759916978383e-43,"13","Lrrfip1"
"Cap2.8",9.4695462363852e-48,0.354988501079233,0.796,0.488,2.9405781927847e-43,"13","Cap2"
"Tmem25.6",1.24888026506123e-47,0.286144356585111,0.451,0.194,3.87814788709462e-43,"13","Tmem25"
"Dscam.7",1.32061043730341e-47,0.291363777593151,0.471,0.208,4.10089159095829e-43,"13","Dscam"
"Cckbr.12",1.52199337919938e-47,0.35695902265885,0.51,0.238,4.72624604042782e-43,"13","Cckbr"
"D130043K22Rik.5",1.61363233553904e-47,0.327566013738792,0.616,0.311,5.01081249154937e-43,"13","D130043K22Rik"
"Cabp1.8",2.00314262302954e-47,0.332109969736784,0.549,0.267,6.22035878729364e-43,"13","Cabp1"
"Dgkz.7",2.19079855477104e-47,0.369816403319138,0.752,0.428,6.8030867521305e-43,"13","Dgkz"
"Nr4a1.6",2.89931767286684e-47,0.366173841477053,0.469,0.214,9.0032511695534e-43,"13","Nr4a1"
"Col6a1.9",3.08004677892195e-47,0.453858394057292,0.361,0.148,9.56446926258633e-43,"13","Col6a1"
"Mal2",4.33269942575858e-47,0.284693193554267,0.399,0.166,1.34543315268081e-42,"13","Mal2"
"R3hdm2.9",4.71553713155143e-47,0.324818414179521,0.732,0.407,1.46431574546067e-42,"13","R3hdm2"
"Ntrk3.8",9.90218224854848e-47,0.331960165665951,0.866,0.54,3.07492465364176e-42,"13","Ntrk3"
"Pfkfb4.4",1.73742680866435e-46,0.305033873397759,0.469,0.209,5.3952314689454e-42,"13","Pfkfb4"
"Serpini1.8",2.0330739415786e-46,0.261093093886616,0.621,0.31,6.31330451078404e-42,"13","Serpini1"
"Rnf128.3",2.9242458918251e-46,0.264927068387516,0.286,0.102,9.08066076788447e-42,"13","Rnf128"
"Gramd1b.1",8.30925712510672e-46,0.319891716152906,0.755,0.432,2.58027361505939e-41,"13","Gramd1b"
"Nrxn2.7",8.31228098695685e-46,0.307021792848207,0.766,0.449,2.58121261487971e-41,"13","Nrxn2"
"Ahi1.7",8.47421079323212e-46,0.352736639779315,0.975,0.769,2.63149667762237e-41,"13","Ahi1"
"Anks1b.7",8.85057401470177e-46,0.304902147076153,0.969,0.76,2.74836874878534e-41,"13","Anks1b"
"Rasgrp1.11",1.01580478268496e-45,0.323619930496152,0.804,0.474,3.15437859167162e-41,"13","Rasgrp1"
"Tshz2.1",1.32202314169293e-45,0.27307945484155,0.176,0.049,4.10527846189907e-41,"13","Tshz2"
"Spock3.11",1.78425692716464e-45,-0.970270863310464,0.147,0.405,5.54065303592437e-41,"13","Spock3"
"Dync1i1.6",1.8558058246515e-45,0.319573428454752,0.706,0.397,5.76283382729031e-41,"13","Dync1i1"
"Pak3.4",1.90872497309661e-45,0.327358876536988,0.636,0.331,5.92716365895691e-41,"13","Pak3"
"Hmgcr.5",4.92650256403300e-45,0.345205898492307,0.761,0.462,1.52982684120917e-40,"13","Hmgcr"
"Rtn4.7",5.14734189925597e-45,-0.599824928542842,0.822,0.833,1.59840407997595e-40,"13","Rtn4"
"Ttc14.3",5.46348987039752e-45,0.285167069165892,0.98,0.873,1.69657750945454e-40,"13","Ttc14"
"Limch1.9",5.76516099960878e-45,-0.81183704007307,0.198,0.443,1.79025544520852e-40,"13","Limch1"
"Matk.9",7.91429005887498e-45,0.347432161762673,0.92,0.633,2.45762449198245e-40,"13","Matk"
"Zfp697.1",1.59982052685994e-44,0.256693206868739,0.307,0.116,4.96792268205818e-40,"13","Zfp697"
